image,class,method,reference,SSIM_original,QSSIM_original,PSNR_original,PCC_original,DeltaE_original,SSIM_reference,QSSIM_reference,PSNR_reference,PCC_reference,DeltaE_reference
image060-roi3.tif,moderate,histogram_matching,ref3,0.7941102941171009,0.7941102941171009,12.090804990995013,0.708828491434534,21.655634441489386,0.08977470402446198,0.08977470402446198,11.644006204042112,0.47103273523004263,20.021092546894433
image060-roi4.tif,moderate,histogram_matching,ref3,0.7862685918410567,0.7862685918410567,12.139520929487723,0.7053142885475651,21.60531004210678,0.08215274530049149,0.08215274530049149,11.294015291969053,0.4260015903646657,20.92250018273038
image060-roi5.tif,moderate,histogram_matching,ref3,0.7607977127451541,0.7607977127451541,13.010408838668342,0.7289661643694676,19.56349581993204,0.06867398244562202,0.06867398244562202,11.211315157434186,0.4142598794308587,20.802036832837505
image062-roi3.tif,moderate,histogram_matching,ref3,0.7782153702689856,0.7782153702689856,14.084170011376557,0.6881607809422995,19.341898970286483,0.07565899471741616,0.07565899471741616,11.350874498675076,0.43343010471973575,20.60488413664991
image062-roi4.tif,moderate,histogram_matching,ref3,0.8210754425429635,0.8210754425429635,13.424758815263845,0.6807828240890286,20.7411610021408,0.08784401405421875,0.08784401405421875,11.716932169741526,0.47996863630841663,19.22536244415165
image062-roi5.tif,moderate,histogram_matching,ref3,0.7627605565967097,0.7627605565967097,14.250270872870397,0.7075138118594974,18.798458368891932,0.06873511129132735,0.06873511129132735,11.3696942447762,0.4361375582209373,20.87272704950631
image063-roi2.tif,moderate,histogram_matching,ref3,0.8098050494496155,0.8098050494496155,13.153051382518925,0.6504310005616913,21.85056780555677,0.08356311481084527,0.08356311481084527,11.686739530584887,0.4757023242799429,19.788888664720652
image063-roi3.tif,moderate,histogram_matching,ref3,0.8370029545869242,0.8370029545869242,14.052391332058804,0.6635018048153151,21.274720726102085,0.06845415277372532,0.06845415277372532,11.45780950450408,0.44847468405657437,20.050269030532878
image013-roi1.tif,severe,histogram_matching,ref3,0.7701470038728214,0.7701470038728214,11.37961763196395,0.7638462951947401,22.046684603797363,0.0956610098118225,0.0956610098118225,11.289715256425566,0.424544451790063,20.756027234399767
image013-roi2.tif,severe,histogram_matching,ref3,0.7062975799330719,0.7062975799330719,11.263720413696918,0.7520838018688952,22.61947950090094,0.0954036837575729,0.0954036837575729,11.79595623702622,0.4881599119341705,19.48364083124895
image013-roi3.tif,severe,histogram_matching,ref3,0.690494053048205,0.690494053048205,11.863751638809404,0.7612054897517186,21.420193274113917,0.07433450457957469,0.07433450457957469,11.481562107939139,0.4500577859668093,20.329145201562508
image013-roi4.tif,severe,histogram_matching,ref3,0.7691008725585479,0.7691008725585479,12.506153146075196,0.774882535974043,19.9311686967413,0.08656276646266758,0.08656276646266758,11.571940431267436,0.46114822862881283,20.078533870014354
image013-roi5.tif,severe,histogram_matching,ref3,0.7212417792214006,0.7212417792214006,12.34694438163828,0.7505758331159724,20.598160274882172,0.0972044353048529,0.0972044353048529,12.010425231653361,0.5125141345773756,18.87434473623118
image024-roi1.tif,severe,histogram_matching,ref3,0.792568988381162,0.792568988381162,13.551255630317083,0.8293339462760001,17.7201774840064,0.08884050441316195,0.08884050441316195,11.333448396860398,0.43034520480257826,20.660931294210798
image024-roi2.tif,severe,histogram_matching,ref3,0.8045110707101705,0.8045110707101705,13.039058255124203,0.8076200241229429,18.686893878817873,0.09129044629947247,0.09129044629947247,11.68262178018444,0.47446671694019277,19.63771139943472
image024-roi3.tif,severe,histogram_matching,ref3,0.7662483821840208,0.7662483821840208,12.011029389017132,0.7868507907052467,21.375546118123008,0.08141689500026698,0.08141689500026698,11.410076405832267,0.43992775370503207,20.190097080993336
image024-roi4.tif,severe,histogram_matching,ref3,0.7387388704956801,0.7387388704956801,11.473622104570126,0.7582441532339319,22.566433726090054,0.09689628735994187,0.09689628735994187,11.6001894809033,0.4634148658578755,19.93619973593707
image024-roi5.tif,severe,histogram_matching,ref3,0.7456805701622726,0.7456805701622726,11.462718729224633,0.760437762059258,22.470523280528262,0.08944452427298287,0.08944452427298287,11.420005609041068,0.44073396408210486,20.635495721982327
image024-roi6.tif,severe,histogram_matching,ref3,0.7770272963172603,0.7770272963172603,13.882579853491686,0.8211742275033247,17.145773189236785,0.08876708269883214,0.08876708269883214,11.818240936062113,0.49039253909099656,19.477837135557365
image034-roi1.tif,severe,histogram_matching,ref3,0.8145050747022493,0.8145050747022493,13.345588311617359,0.8157171115896117,17.099302724134315,0.10352866564918262,0.10352866564918262,11.887336190716624,0.4988074134778898,19.525674968167984
image034-roi2.tif,severe,histogram_matching,ref3,0.8332221738929744,0.8332221738929744,15.097627237738266,0.8494010482727773,14.486380746066702,0.08817868665848112,0.08817868665848112,11.38185584303156,0.4368479074928599,20.425719966485005
image034-roi3.tif,severe,histogram_matching,ref3,0.8045179655410473,0.8045179655410473,13.389622323067448,0.8311875426192109,17.12459575061561,0.10115879802678816,0.10115879802678816,11.296978813303296,0.4255399569071563,20.779428986616047
image034-roi4.tif,severe,histogram_matching,ref3,0.8210457909985477,0.8210457909985477,14.762663599768187,0.8539566702853449,15.213916102961297,0.08562506674934789,0.08562506674934789,11.326590885200464,0.4298275614988044,20.689647300184557
image034-roi5.tif,severe,histogram_matching,ref3,0.810091782024644,0.810091782024644,15.034013426335274,0.8591402262717398,14.553400189044082,0.07629548867222441,0.07629548867222441,11.335901677571542,0.4306051518204648,20.373660463647333
image035-roi1.tif,severe,histogram_matching,ref3,0.8200073545219541,0.8200073545219541,15.50365796467116,0.8831019776400736,13.736452997170629,0.07413725605918442,0.07413725605918442,11.234636473799105,0.41760352858125005,20.59624529984869
image035-roi2.tif,severe,histogram_matching,ref3,0.8146449496390024,0.8146449496390024,15.05456483448125,0.8765642755008556,14.497078292106918,0.07885907148135864,0.07885907148135864,11.316902634757785,0.42848221626302985,20.572613725143796
image035-roi3.tif,severe,histogram_matching,ref3,0.7939948448234961,0.7939948448234961,15.445432224897694,0.8946839371636578,13.849524869813123,0.08288662143641669,0.08288662143641669,11.309506182659812,0.4276994668486371,20.27632761167725
image035-roi4.tif,severe,histogram_matching,ref3,0.8163238655982336,0.8163238655982336,15.763261817240261,0.871689760820955,13.684605030901624,0.07073669766794163,0.07073669766794163,11.26691511742428,0.4216311149068827,20.889911893571234
image035-roi5.tif,severe,histogram_matching,ref3,0.8092826791082048,0.8092826791082048,14.312139190442927,0.8597915875080855,15.28570287375464,0.09472118976281192,0.09472118976281192,11.213187823586122,0.41448455834703835,21.004057361315212
image036-roi1.tif,severe,histogram_matching,ref3,0.8144551133131772,0.8144551133131772,13.797146767555084,0.8565618180731633,16.13857597429652,0.10693502394273095,0.10693502394273095,11.572816961542088,0.46114307075349265,20.119299741298928
image036-roi2.tif,severe,histogram_matching,ref3,0.75804095629231,0.75804095629231,14.224364434833525,0.8622872639870471,15.604793293203123,0.08578459004574224,0.08578459004574224,11.619672997979709,0.4664923932877329,19.712660683530927
image036-roi3.tif,severe,histogram_matching,ref3,0.7809595961120265,0.7809595961120265,15.233946014031194,0.8826534014089564,14.11647931199977,0.09083918565580003,0.09083918565580003,11.90925974202365,0.5009962843621023,19.114188690236738
image036-roi4.tif,severe,histogram_matching,ref3,0.8220549306215683,0.8220549306215683,15.643375681751179,0.8802500428150996,13.18794156102733,0.0818474508724004,0.0818474508724004,11.367352184109707,0.4350755918240871,20.43537515934599
image036-roi5.tif,severe,histogram_matching,ref3,0.7541553769312231,0.7541553769312231,14.86890981728246,0.879172905243664,14.87727213965913,0.08093909400581874,0.08093909400581874,11.469520737070056,0.4478765995728746,20.433143557748
image043-roi1.tif,severe,histogram_matching,ref3,0.8226199512874149,0.8226199512874149,12.949285432589537,0.6610714290308958,21.398015698713106,0.08420066347880732,0.08420066347880732,11.39871136238292,0.44001779969799076,20.507606479403666
image043-roi2.tif,severe,histogram_matching,ref3,0.860463828022895,0.860463828022895,13.5896339681262,0.6910521560330452,20.34470560634147,0.06716673026393778,0.06716673026393778,11.468584262590717,0.4496533470722664,20.051654846150893
image043-roi3.tif,severe,histogram_matching,ref3,0.8378700790326542,0.8378700790326542,13.422257477725733,0.7019142036958744,20.95566398139444,0.0637343066545216,0.0637343066545216,11.297293246677889,0.42898426289374353,20.625450649985634
